OBJECTID,id,名称,丛属区划,从属线路,北纬,东经
0,5033ca9990e90fd15a10936a,成都东客站,成华区,地铁2号线;地铁7号线,104.1383875,30.63163745
1,4621ded49279f6b9130daa21,东坡路,青羊区,地铁7号线,104.0056121,30.66345555
2,d1fbe1454ee108ff4afd3fde,华西坝,武侯区,地铁1号线,104.0637384,30.64540578
3,28b12dbece4c4917b03c811d,塔子山公园,锦江区,地铁2号线,104.1204073,30.63199997
4,0d6c8fb6157c2b4d08ccdd01,二仙桥,成华区,地铁7号线,104.124034,30.68307704
5,2b37f1b0881fe9fee6073891,桐梓林,武侯区,地铁1号线,104.0646338,30.61776168
6,58551cd48a395f4233621228,火车北站,金牛区,地铁1号线;地铁7号线,104.0712795,30.69817828
7,394dc5fc33b547c5cbc3db8a,武青南路,武侯区,地铁3号线,103.9828002,30.62575632
8,c87ffa9c70d2115cb05c6af7,省体育馆,武侯区,地铁1号线;地铁3号线,104.0637716,30.63583717
9,d796eb12da5ef211343a7171,高朋大道,武侯区,地铁7号线,104.0303268,30.61982179
10,b8e7654b68d2f3c2e9f85375,文殊院,青羊区,地铁1号线,104.065708,30.67521159
11,6644cff2bca763f7de1e52a8,火车南站,武侯区,地铁1号线;地铁7号线,104.0642786,30.60737895
12,927de4f0f7fb2fddbbdf8f1d,白果林,金牛区,地铁2号线,104.0307937,30.67615125
13,7275c7eb2c7c8d70bfa8226d,新南门,武侯区,地铁3号线,104.0726121,30.64675607
14,ae05b920dd125ce397ec849c,玉双路,成华区,地铁4号线,104.0957318,30.65656889
15,edeb043a12b50b78c4f0254c,川藏立交,武侯区,地铁3号线,104.0038003,30.62544153
16,51176652aa08e6e892114c28,磨子桥,武侯区,地铁3号线,104.0734208,30.63976188
17,a4ee4ebd8950377303ec018c,万年场,成华区,地铁4号线,104.1171235,30.64640936
18,52c7bd7722962be25abbbc99,草堂北路,青羊区,地铁4号线,104.0269692,30.6712751
19,cb606ba9c7467eec8415412a,西南交大,金牛区,地铁7号线,104.0469198,30.69688755
20,f0f42ef0ff3e78345fd4fe48,府青路,成华区,地铁7号线,104.1049514,30.69676596
21,9acd10fcf939ca90892fb531,八里庄,成华区,地铁7号线,104.1155211,30.68955694
22,b03157e68a4a432d626858e6,双店路,成华区,地铁7号线,104.1344456,30.66006002
23,d4e25fe82e9f20dd7069d38c,西南财大,青羊区,地铁4号线,104.0181165,30.67292355
24,c513116b8347d6105bf6be0d,植物园,金牛区,地铁3号线,104.1186339,30.76550662
25,50a777e1ab4985b2725e80d9,中医大省医院,金牛区,地铁2号线;地铁4号线,104.0383919,30.66839998
26,8291659404d8b0f08d1a891d,通惠门,青羊区,地铁2号线,104.046085,30.66458915
27,b484d9413e02ace82dfaa72c,簇锦,武侯区,地铁10号线,104.0058412,30.61380333
28,dfe9e4053153b57f902ca3d7,骡马市,青羊区,地铁1号线;地铁4号线,104.0631856,30.66903443
29,f60f84f768b039602bfc48cd,金周路,金牛区,地铁2号线,103.9939035,30.72425553
30,5a98fa4310e4a3091df74dba,清江西路,青羊区,地铁4号线,103.9963878,30.67910798
31,2e5b9aba6d556a95e607389d,成都西站,青羊区,地铁4号线,103.9746657,30.68622864
32,8152d3000c14babd8bf15d96,武侯大道,武侯区,地铁7号线,104.0104482,30.63990367
33,400e2c27ff3c1bfe17948e57,人民北路,金牛区,地铁1号线,104.0706283,30.68787732
34,79e94fb7bf2e12b5b14c49cd,金科北路,金牛区,地铁2号线,104.0044768,30.72321414
35,3bddfe8479e1520fbbbd63fc,锦江宾馆,锦江区,地铁1号线,104.0635091,30.65259788
36,5bd7bc844d3ec6e1f72310a0,孵化园,武侯区,地铁1号线,104.0618592,30.57816517
37,d2cca9d8fee6635997f08c1d,羊犀立交,金牛区,地铁2号线,104.0101206,30.69673007
38,0c83e5ec45db67f7714b871d,牛市口,锦江区,地铁2号线,104.1052254,30.64036937
39,05fd1823f822470c46572664,中坝,青羊区,地铁4号线,103.9617044,30.67607023
40,478189dce1b94802705e801d,东大路,锦江区,地铁2号线,104.1102987,30.63563882
41,868c291028f771b516948e1d,蜀汉路东,金牛区,地铁2号线,104.0267079,30.68539852
42,52dd13dfabda83f54d2fdf82,双凤桥,武侯区,地铁3号线,103.9669308,30.61857099
43,4f45afee29ebc3955ebe861d,牛王庙,锦江区,地铁2号线,104.091974,30.64742766
44,d92e0761e4e1aa3a4307c188,升仙湖,成华区,地铁1号线,104.0808543,30.70722648
45,6103c156f55bb2f35cd4fe51,迎晖路,成华区,地铁7号线,104.1372318,30.64147942
46,25aa02581f1653fb744ff154,市二医院,锦江区,地铁3号线;地铁4号线,104.0817819,30.66311663
47,3f579aa48fc446c132f71d7d,槐树店,成华区,地铁4号线;地铁7号线,104.1369027,30.65209536
48,4377f32863e9afa5fadc851d,东门大桥,锦江区,地铁2号线,104.0847615,30.65072994
49,2d52b3178e3239d20c0e6b3b,九里堤,金牛区,地铁7号线,104.0546779,30.69711098
50,52b768e3486723ab14b54bf2,三瓦窑,武侯区,地铁7号线,104.075001,30.60658793
51,8b81659b03dc251f095cb3c7,熊猫大道,成华区,地铁3号线,104.105453,30.72801169
52,0f46b52169d53b98d3f49e55,倪家桥,武侯区,地铁1号线,104.0643227,30.62726893
53,79ce18c8ee74f8c1a11de9ed,神仙树,武侯区,地铁7号线,104.0449828,30.61162497
54,569d8fe82f64d171430245ac,文化宫,青羊区,地铁4号线;地铁7号线,104.0073431,30.67476741
55,0ba189d4c88c1e02a80dd8b7,马厂坝,青羊区,地铁4号线,103.9115357,30.68028657
56,eb205fd31623737df5c59cc8,双桥路,成华区,地铁4号线,104.1102607,30.64962237
57,1f5741c6b648034c33621243,非遗博览园,青羊区,地铁4号线,103.9199649,30.67701812
58,9012d1445adb07024657262c,太平园,武侯区,地铁10号线;地铁3号线;地铁7号线,104.0189683,30.62787883
59,933af24547483369e215f972,一品天下,金牛区,地铁2号线;地铁7号线,104.0178136,30.69146703
60,8c54112338d11f072e47332d,北站西二路,金牛区,地铁7号线,104.0638093,30.69703019
61,2e7364a165df78a85a10931d,茶店子客运站,金牛区,地铁2号线,104.0109843,30.70843122
62,1244e57f68458b21e011032e,狮子山,锦江区,地铁7号线,104.1217673,30.61834453
63,287e2642e7c620e3ab059d05,红牌楼,武侯区,地铁3号线,104.0271962,30.63705201
64,a40ee4f0405d9d4de812e45a,昭觉寺南路,成华区,地铁3号线,104.0942928,30.70530914
65,ae8d6158f2bc40f4a20464e6,锦城广场,武侯区,地铁1号线,104.0644413,30.57014283
66,fe61b8d4b6a73709adb22ac5,李家沱,成华区,地铁3号线,104.0919289,30.69190326
67,fafb45abece41e45b4265588,大观,成华区,地铁7号线,104.1302,30.62404145
68,8673aea7d14219d53ce231d4,琉璃场,锦江区,地铁7号线,104.0984416,30.60975377
69,11d383e8409c009b9fec2b26,茶店子,金牛区,地铁7号线,104.0283122,30.69862081
70,e37678705deca682c4f025ed,动物园,成华区,地铁3号线,104.1006609,30.71607541
71,8ea2648c57f1ad01be4842b2,前锋路,成华区,地铁3号线,104.0895213,30.6813402
72,44241768fd612534afee7a39,衣冠庙,武侯区,地铁3号线,104.0497286,30.63689619
73,411080218fb8248a63180989,武侯立交,武侯区,地铁3号线,103.9911083,30.62955637
74,8dd3024bcf598975e9e5821d,成渝立交,成华区,地铁2号线,104.1447035,30.62749628
75,c8e6b63ea4e1c55d2cb96d1e,天府五街,武侯区,地铁1号线,104.0664641,30.53930742
76,b1a9982994fb88054acc4acd,迎宾大道,金牛区,地铁2号线,104.0111759,30.7157871
77,14e9b39dfd28387e240bd05f,韦家碾,金牛区,地铁1号线,104.0844235,30.71978315
78,97eb02be28499612882fb5c6,龙爪堰,武侯区,地铁7号线,104.0060855,30.6546076
79,ce94a78423ca053233621218,四川师大,锦江区,地铁7号线,104.1134993,30.61172887
80,dafef35f97ba5ec4ce04efa9,太升南路,青羊区,地铁4号线,104.0745601,30.66696193
81,4c1edcabacdfd33af22d83af,驷马桥,成华区,地铁3号线;地铁7号线,104.0910625,30.69800207
82,1937295cab83b4128b2fb5e6,金沙博物馆,青羊区,地铁7号线,104.0101177,30.67979179
83,ecd60c630a3dc9b849fc8da4,花照壁,金牛区,地铁7号线,104.0384103,30.69905944
84,fbd9fa0fdd9052ec82a12ed2,崔家店,成华区,地铁7号线,104.1339703,30.66791457
85,ddf9c8df36beb45380288a1d,人民公园,青羊区,地铁2号线,104.0541068,30.66177737
86,8f2531154ef37fdbe50738e4,红星桥,成华区,地铁3号线,104.0878875,30.67356885
87,66a9a717f36116c5f60e776e,蔡桥,青羊区,地铁4号线,103.9425986,30.67260384
